battery_voltage_v,battery_temp_c,battery_charge_percent,battery_health_percent,alternator_output_v,engine_temp_c,coolant_temp_c,engine_rpm,oil_pressure_psi,fuel_level_percent,engine_load_percent,ambient_temp_c,brake_fluid_level_psi,brake_pad_wear_mm,brake_temp_c,service_type,detected_dtc,source
10.22262718,24.05438177,96.65831733,96.28518604,13.83084514,95.06116446,91.05450587,4004.064172,35.76909433,10.97539818,26.42731663,18.54893384,1010.623532,7.202903519,119.5483414,BATTERY_JUMP,U0100,real_dtc_expert_retrofit
12.54526034,34.43933942,53.78850905,94.16838848,14.16743439,115.3301864,89.05912944,1105.271005,6.374114207,55.12023729,0,29.68056658,860.4565918,7.315401087,26.51672572,SEVERE_MECHANICAL_TOW,NOT_APPLICABLE,real_dtc_expert_retrofit
12.99421143,21.03233859,42.36665628,91.78745399,14.94432568,119.3224707,89.68972545,1583.231458,12.07998446,93.29009392,47.50963839,37.86324141,1048.231935,8.747317731,72.42323288,FUEL_FILTER_CLOGGED,P0089,real_dtc_expert_retrofit
12.36943469,28.97421523,67.19654361,93.65491792,14.30088776,107.6992981,93.97444693,2359.938617,8.298198455,21.45207693,25.51953511,16.41249068,1022.897538,7.743241427,88.21943977,ELECTRICAL_FAULT_RAIN,NOT_APPLICABLE,real_dtc_expert_retrofit
12.99421143,21.03233859,42.36665628,91.78745399,14.94432568,119.3224707,89.68972545,1583.231458,12.07998446,93.29009392,47.50963839,37.86324141,1048.231935,8.747317731,72.42323288,COOLANT_LOW,P0128,real_dtc_expert_retrofit
12.36943469,28.97421523,67.19654361,93.65491792,14.30088776,107.6992981,93.97444693,2359.938617,8.298198455,21.45207693,25.51953511,16.41249068,1022.897538,7.743241427,88.21943977,TRANSMISSION_ISSUE,P0761,real_dtc_expert_retrofit
13.13321027,20.55746411,96.06000557,93.36690508,14.09910912,96.1629783,84.87913368,2143.467421,45.61131069,12.20408015,47.76143682,29.72121792,456.6410244,8.662123664,298.7755896,BRAKE_PAD_WORN,NOT_APPLICABLE,real_dtc_expert_retrofit
12.28387908,30.28931727,90.19038036,98.45131565,14.08087482,108.6451888,93.92400388,1707.592781,5.928049328,93.75842798,37.01380133,30.83551312,891.7197692,7.491967883,39.15051858,FUEL_PUMP,P0629,real_dtc_expert_retrofit
9.06508174,28.7736311,90.40652444,91.99655029,14.37337167,93.09603477,88.27421811,2310.446055,41.03564044,58.21544279,21.84279055,48.90440481,881.7042728,9.690619581,66.90858781,BATTERY_REPLACE,P0603,real_dtc_expert_retrofit
12.36943469,28.97421523,67.19654361,93.65491792,14.30088776,107.6992981,93.97444693,2359.938617,8.298198455,21.45207693,25.51953511,16.41249068,1022.897538,7.743241427,88.21943977,TRANSMISSION_ISSUE,P0740,real_dtc_expert_retrofit
9.854863413,27.03804411,54.22012633,94.73013548,14.524197,90.63422152,90.05770556,1099.625131,62.95133775,13.18559905,55.87771196,37.63309586,793.1526558,8.8378406,130.8136153,ALTERNATOR_ISSUE,P0562,real_dtc_expert_retrofit
13.22599171,21.87890665,55.36935705,94.20963646,13.99878928,97.05824446,94.98240666,2949.17432,37.18662277,15.3493797,57.11880837,34.44389814,433.7843742,7.381420961,267.821446,BRAKE_PAD_WORN,NOT_APPLICABLE,real_dtc_expert_retrofit
12.36943469,28.97421523,67.19654361,93.65491792,14.30088776,107.6992981,93.97444693,2359.938617,8.298198455,21.45207693,25.51953511,16.41249068,1022.897538,7.743241427,88.21943977,BELT_BROKEN,NOT_APPLICABLE,real_dtc_expert_retrofit
12.99421143,21.03233859,42.36665628,91.78745399,14.94432568,119.3224707,89.68972545,1583.231458,12.07998446,93.29009392,47.50963839,37.86324141,1048.231935,8.747317731,72.42323288,FUEL_PUMP,P0231,real_dtc_expert_retrofit
10.55655403,25.68079148,90.35683018,91.81400866,14.35706789,92.49465951,85.55333459,700,45.49478922,82.92813761,41.34083791,10.29321232,1093.079548,8.782814574,80.21136718,BATTERY_JUMP,U0100,real_dtc_expert_retrofit
12.36943469,28.97421523,67.19654361,93.65491792,14.30088776,107.6992981,93.97444693,2359.938617,8.298198455,21.45207693,25.51953511,16.41249068,1022.897538,7.743241427,88.21943977,CLUTCH_WORN,P0902,real_dtc_expert_retrofit
12.28387908,30.28931727,90.19038036,98.45131565,14.08087482,108.6451888,93.92400388,1707.592781,5.928049328,93.75842798,37.01380133,30.83551312,891.7197692,7.491967883,39.15051858,TRANSMISSION_ISSUE,P0753,real_dtc_expert_retrofit
12.36943469,28.97421523,67.19654361,93.65491792,14.30088776,107.6992981,93.97444693,2359.938617,8.298198455,21.45207693,25.51953511,16.41249068,1022.897538,7.743241427,88.21943977,BELT_BROKEN,NOT_APPLICABLE,real_dtc_expert_retrofit
12.99421143,21.03233859,42.36665628,91.78745399,14.94432568,119.3224707,89.68972545,1583.231458,12.07998446,93.29009392,47.50963839,37.86324141,1048.231935,8.747317731,72.42323288,FUEL_FILTER_CLOGGED,P0093,real_dtc_expert_retrofit
9.867297907,27.11228036,54.72120631,93.60084595,14.13522214,96.00931402,91.7897245,872.8526872,42.91440826,85.66587659,35.93174635,16.72779487,883.3105205,7.494422038,77.87988025,BATTERY_REPLACE,P0561,real_dtc_expert_retrofit
12.11783061,25.49663744,53.06896454,90.99003046,14.01191003,107.2824494,89.94877182,1449.656077,13.02178224,63.95875208,29.76837042,44.04827606,950.2886283,6.804021645,136.8068271,RADIATOR_HOSE_LEAK,NOT_APPLICABLE,real_dtc_expert_retrofit
9.06508174,28.7736311,90.40652444,91.99655029,14.37337167,93.09603477,88.27421811,2310.446055,41.03564044,58.21544279,21.84279055,48.90440481,881.7042728,9.690619581,66.90858781,STARTER_MOTOR,P0817,real_dtc_expert_retrofit
9.854863413,27.03804411,54.22012633,94.73013548,14.524197,90.63422152,90.05770556,1099.625131,62.95133775,13.18559905,55.87771196,37.63309586,793.1526558,8.8378406,130.8136153,STARTER_MOTOR,P0617,real_dtc_expert_retrofit
12.36943469,28.97421523,67.19654361,93.65491792,14.30088776,107.6992981,93.97444693,2359.938617,8.298198455,21.45207693,25.51953511,16.41249068,1022.897538,7.743241427,88.21943977,CLUTCH_WORN,P0903,real_dtc_expert_retrofit
10.01620326,27.12871194,54.68471327,90.29097604,13.914573,94.15220795,91.2544444,2932.261558,33.86586464,77.19722436,64.58705826,30.1909344,1140.578055,8.971950715,-9.881104159,ALTERNATOR_ISSUE,P0625,real_dtc_expert_retrofit
12.83935888,26.91662452,71.22347754,91.41174785,14.42203255,109.0448565,89.25763438,1300.34719,13.81014746,98.00225252,29.63722775,33.29281544,1080.13722,9.168202316,144.198733,RADIATOR_FAN_ISSUE,P0693,real_dtc_expert_retrofit
12.28387908,30.28931727,90.19038036,98.45131565,14.08087482,108.6451888,93.92400388,1707.592781,5.928049328,93.75842798,37.01380133,30.83551312,891.7197692,7.491967883,39.15051858,COOLANT_LOW,P0128,real_dtc_expert_retrofit
12.73451877,23.41671306,52.07585986,91.53412848,14.23749573,91.29501022,86.71154802,2573.088143,45.03943105,19.55049268,7.000672275,13.0927706,555.2556563,8.413742821,350.067913,BRAKE_FAILURE,NOT_APPLICABLE,real_dtc_expert_retrofit
12.19928631,25.62835147,84.35902898,91.26559891,14.59602309,98.3567636,92.242857,1735.08844,66.30512352,66.48822117,53.38750007,26.29851138,553.1275482,7.75594966,399.3553595,BRAKE_FAILURE,NOT_APPLICABLE,real_dtc_expert_retrofit
12.54526034,34.43933942,53.78850905,94.16838848,14.16743439,115.3301864,89.05912944,1105.271005,6.374114207,55.12023729,0,29.68056658,860.4565918,7.315401087,26.51672572,RADIATOR_HOSE_LEAK,NOT_APPLICABLE,real_dtc_expert_retrofit
12.28387908,30.28931727,90.19038036,98.45131565,14.08087482,108.6451888,93.92400388,1707.592781,5.928049328,93.75842798,37.01380133,30.83551312,891.7197692,7.491967883,39.15051858,SEVERE_MECHANICAL_TOW,NOT_APPLICABLE,real_dtc_expert_retrofit
12.54526034,34.43933942,53.78850905,94.16838848,14.16743439,115.3301864,89.05912944,1105.271005,6.374114207,55.12023729,0,29.68056658,860.4565918,7.315401087,26.51672572,FUEL_FILTER_CLOGGED,P0089,real_dtc_expert_retrofit
12.83935888,26.91662452,71.22347754,91.41174785,14.42203255,109.0448565,89.25763438,1300.34719,13.81014746,98.00225252,29.63722775,33.29281544,1080.13722,9.168202316,144.198733,FUEL_PUMP,P069E,real_dtc_expert_retrofit
10.22262718,24.05438177,96.65831733,96.28518604,13.83084514,95.06116446,91.05450587,4004.064172,35.76909433,10.97539818,26.42731663,18.54893384,1010.623532,7.202903519,119.5483414,ALTERNATOR_ISSUE,P0623,real_dtc_expert_retrofit
12.11783061,25.49663744,53.06896454,90.99003046,14.01191003,107.2824494,89.94877182,1449.656077,13.02178224,63.95875208,29.76837042,44.04827606,950.2886283,6.804021645,136.8068271,COOLANT_LOW,P0128,real_dtc_expert_retrofit
12.28387908,30.28931727,90.19038036,98.45131565,14.08087482,108.6451888,93.92400388,1707.592781,5.928049328,93.75842798,37.01380133,30.83551312,891.7197692,7.491967883,39.15051858,ELECTRICAL_FAULT_RAIN,NOT_APPLICABLE,real_dtc_expert_retrofit
10.55655403,25.68079148,90.35683018,91.81400866,14.35706789,92.49465951,85.55333459,700,45.49478922,82.92813761,41.34083791,10.29321232,1093.079548,8.782814574,80.21136718,STARTER_MOTOR,P0512,real_dtc_expert_retrofit
12.83935888,26.91662452,71.22347754,91.41174785,14.42203255,109.0448565,89.25763438,1300.34719,13.81014746,98.00225252,29.63722775,33.29281544,1080.13722,9.168202316,144.198733,COOLANT_LOW,P0217,real_dtc_expert_retrofit
12.20550052,35.05601308,55.25474121,93.62795292,14.07731276,108.1424542,92.75917376,733.9052181,6.174339001,23.13400219,47.72865499,33.13575434,837.2451345,7.680294416,95.32392876,FUEL_PUMP,P0089,real_dtc_expert_retrofit
12.36943469,28.97421523,67.19654361,93.65491792,14.30088776,107.6992981,93.97444693,2359.938617,8.298198455,21.45207693,25.51953511,16.41249068,1022.897538,7.743241427,88.21943977,IGNITION_SYSTEM,P0309,real_dtc_expert_retrofit
